state,State,ST,total_cust_photo,total_stor_cap_photo,tot_stor_cust_photo,total_vir_cust_photo,total_soldback_photo,total_cap_wind,total_cust_wind,total_soldback_wind,total_cap_other,total_cust_other,total_soldback_other,total_cap_photo,total_cap_all,total_custall,res_soldback_all,com_soldback_all,ind_soldback_all,tran_soldback_all,total_soldback_all,Solar Rank,Sun Index,Ann_50MeterCapMW,Ann_80Meter30GenGWH,Ann_80Meter30CapMW,Ann_80Meter35GenGWH,Ann_80Meter35CapMW,Ann_80Meter40GenGWH,Ann_80Meter40CapMW,Ann_100Meter30GenGWH,Ann_100Meter30CapMW,Ann_100Meter35GenGWH,Ann_100Meter35CapMW,Ann_100Meter40GenGWH,Ann_100Meter40CapMW,Ann_Offshore_potenGenerationGWH,Ann_OffshorePotentialCapMW,Ann_Gen_GWH
AK,Alaska,AK,28724,0,0,0,1373.34,21.84,6259,163.49,4.95,446,5.9,132.75,153.1,33618,1126.13,329.08,0,0,1455.17,13,0.89,,,494703,1620792,291121,1051210,144961,580479,641898,2135249,410923,1489752,216576,861262,,
AL,Alabama,AL,3626,0,0,0,1019.18,0,46,0.01,0,0,0,25.09,24.48,3672,461.44,557.75,0,0,1019.19,0,0,0,0,118,333,13,42,0,0,568,1588,48,154,1,5,0,0
AR,Arkansas,AR,51775,9.95,113,200,2589.48,11.69,1376,5.31,0,0,105.36,670.72,654.15,49745,1328.78,1439.21,0,0,2767.87,2,1.18,8500,22000,9200,26906,2213,7215,244,901,49962,141856,8188,27217,1474,5430,,
AZ,Arizona,AZ,7337727,27.65,5161,80154,1347463.47,54.52,16626,1616.22,0,0,1.91,74667.25,73280.73,7256621,802705.93,331012.81,131662.4,0,1265380.78,11,0.91,3800,10000,10904,30616,972,3100,37,135,25791,72732,2528,8075,75,272,,
CA,California,CA,50498524,3243.73,262392,277836,734549.06,1751.25,55445,34216.86,12547.93,39958,0,425301.09,420643.33,48691387,580582.15,119851.81,22260.97,0,722694.89,4,1,23000,59000,34110,105646,14032,49073,5244,20543,44348,137340,18452,64398,6623,25977,654833,2662580
CO,Colorado,CO,2883554,2.53,298,28798,6749.37,217.83,4137,2.56,141.42,238,0,26678.83,25208.61,2750371,5894.94,817.38,13.7,0,6726,5,0.99,190000,481000,387220,1288490,266911,945484,134078,507885,429456,1489820,327461,1198210,208807,810145,,
CT,Connecticut,CT,1775449,1.92,204,4708,206589.14,24.16,2601,372.33,2017.75,5585,15956.33,20323.49,22698.96,1733124,147330.57,66555.39,6608.93,0,220494.85,21,0.79,2000,5000,27,73,1,3,0,1,186,519,9,29,1,2,7171,26545
DC,Washington DC,DC,246384,0,0,132,736.59,0,0,0,0,0,0,2273.15,2193.45,233846,497.23,40.64,0,0,537.85,,0,,,,,,,,,,,,,,,,
DE,Delaware,DE,392598,0,0,0,1987.29,14.2,2480,0.12,40.5,81,0,4628.79,4350.56,369990,504.96,926.85,0,0,1431.81,17,0.84,680,1700,10,26,0,0,0,0,101,274,1,3,0,0,15038,60654
FL,Florida,FL,1365034,5.2,51,215,470920.32,8.28,2466,59.91,384.2,634,4955.38,14106.97,13736.58,1298879,373625.05,82156.29,11178.95,0,466960.19,8,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9649,34684
GA,Georgia,GA,21878,0,0,2282,20896.82,0,0,0,0,0,21.85,523.05,474.29,18719,4773.81,6842.25,320.96,0,11937.04,10,0.92,590,1500,130,380,31,101,6,22,294,863,78,259,16,59,58629,220807
HI,Hawaii,HI,5483306,150.48,23619,0,131720.69,31.48,4267,67.33,4.2,84,0,32640.51,31197.74,5221245,91803.34,35348.62,0,0,127151.91,0,0,,,3265,12363,2483,10179,1956,8474,3564,13694,2762,11434,2106,9320,736945,2836735
IA,Iowa,IA,183378,0,0,0,7377.43,623.09,20639,24042.91,251.66,306,5245.46,3524.19,4265.18,199009,3929.64,27966.16,107.52,0,32003.16,9,0.93,220000,551000,570714,2026340,482415,1772460,318595,1232860,601957,2325420,566965,2224020,466297,1890360,,
ID,Idaho,ID,152246,1.23,69,892,108.45,72.22,13312,0,19.09,1220,1,1046.2,1095.42,160996,113.1,11.98,0,0,125.09,21,0.79,29000,73000,18076,52118,3226,10938,861,3294,44770,128647,6882,23041,1483,5653,,
IL,Illinois,IL,181043,0,0,0,354.2,337.55,16072,444.76,100.8,84,452.68,2641.75,2971.42,183767,182.01,7372.72,0,0,7554.73,18,0.83,24000,61000,249882,763529,120621,391737,4501,15942,329618,1072740,233463,799298,78691,286858,15872,66070
IN,Indiana,IN,108280,2.24,365,0,41484.28,389.32,10721,11072.7,70.81,324,0.13,2337.55,2738.67,112878,11239.92,39127.8,1576.96,0,51944.59,14,0.87,100,260,148228,443912,49005,160827,5931,21387,183832,590581,130218,437101,29754,109526,45,166
KS,Kansas,KS,53221,0,0,0,6650.12,102.36,5777,50.5,0,0,0,713.3,784.12,56479,4953.33,1707.49,0,0,6660.73,8,0.95,420000,1070000,952371,3646590,914202,3535480,760324,3024280,955239,3944270,951475,3933090,900594,3762740,,
KY,Kentucky,KY,45277,6.24,180,0,3927.89,1.7,734,11.86,3.5,84,0,508.66,488.94,42452,2323.06,1312.5,0.16,0,3635.47,18,0.83,120,300,61,173,8,24,0,0,699,1899,26,82,2,6,,
LA,Louisiana,LA,1522437,4.08,744,0,22615.18,0.9,298,0.09,2.25,76,298.58,9234.92,8943.77,1487771,20114.54,800.59,2.06,0,20917.17,12,0.9,0,0,410,1100,0,0,0,0,2840,7719,0,0,0,0,340615,1200699
