State,ST,Ann_50MeterCapMW,Ann_80Meter30GenGWH,Ann_80Meter30CapMW,Ann_80Meter35GenGWH,Ann_80Meter35CapMW,Ann_80Meter40GenGWH,Ann_80Meter40CapMW,Ann_100Meter30GenGWH,Ann_100Meter30CapMW,Ann_100Meter35GenGWH,Ann_100Meter35CapMW,Ann_100Meter40GenGWH,Ann_100Meter40CapMW,Ann_Offshore_potenGenerationGWH,Ann_OffshorePotentialCapMW,Ann_Gen_GWH
Alabama,AL,0,0,118,333,13,42,0,0,568,1588,48,154,1,5,0,0
Alaska,AK,,,494703,1620792,291121,1051210,144961,580479,641898,2135249,410923,1489752,216576,861262,,
Arizona,AZ,3800,10000,10904,30616,972,3100,37,135,25791,72732,2528,8075,75,272,,
Arkansas,AR,8500,22000,9200,26906,2213,7215,244,901,49962,141856,8188,27217,1474,5430,,
California,CA,23000,59000,34110,105646,14032,49073,5244,20543,44348,137340,18452,64398,6623,25977,654833,2662580
Colorado,CO,190000,481000,387220,1288490,266911,945484,134078,507885,429456,1489820,327461,1198210,208807,810145,,
Connecticut,CT,2000,5000,27,73,1,3,0,1,186,519,9,29,1,2,7171,26545
Delaware,DE,680,1700,10,26,0,0,0,0,101,274,1,3,0,0,15038,60654
Florida,FL,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9649,34684
Georgia,GA,590,1500,130,380,31,101,6,22,294,863,78,259,16,59,58629,220807
Hawaii,HI,,,3265,12363,2483,10179,1956,8474,3564,13694,2762,11434,2106,9320,736945,2836735
Idaho,ID,29000,73000,18076,52118,3226,10938,861,3294,44770,128647,6882,23041,1483,5653,,
Illinois,IL,24000,61000,249882,763529,120621,391737,4501,15942,329618,1072740,233463,799298,78691,286858,15872,66070
Indiana,IN,100,260,148228,443912,49005,160827,5931,21387,183832,590581,130218,437101,29754,109526,45,166
Iowa,IA,220000,551000,570714,2026340,482415,1772460,318595,1232860,601957,2325420,566965,2224020,466297,1890360,,
Kansas,KS,420000,1070000,952371,3646590,914202,3535480,760324,3024280,955239,3944270,951475,3933090,900594,3762740,,
Kentucky,KY,120,300,61,173,8,24,0,0,699,1899,26,82,2,6,,
Louisiana,LA,0,0,410,1100,0,0,0,0,2840,7719,0,0,0,0,340615,1200699
